Question;Answer;Description
グラス製品「グラスせいひん」;barang pecah belah gelas;lesson 26
瀬戸物「せともの」;barang pecah belah mangkok;lesson 26
金属製台所用品「きんぞくせいだいどころようひん」;peralatan dapur logam;lesson 26
資源ごみ「しげんごみ」;sampah daur ulang;lesson 26
粗大ごみ「そだいごみ」;sampah besar;lesson 26
事前申し込み「じぜんもうしこみ」;telepon terlebih dahulu;lesson 26
飼います「かいます」;menyimpan(hewan)/merawat(hewan);lesson 27
走ります「はしります」;berlari;lesson 27
見えます「みえます」;terlihat;lesson 27
聞こえます「きこえます」;terdengar;lesson 27
できます;bisa/selesai;lesson 27
開きます「ひらきます」;terbuka/membuka;lesson 27
教室「きょうしつ」;kelas;lesson 27
心配「しんぱい」;khawatir;lesson 27
ペット;hewan peliharaan;lesson 27
鳥「とり」;burung;lesson 27
声「こえ」;suara(makhluk hidup);lesson 27
波「なみ」;ombak;lesson 27
花火「はなび」;kembang api;lesson 27
道具「どうぐ」;alat;lesson 27
クリーニング;laundry;lesson 27
家「いえ」;rumah;lesson 27
マンション;apartemen;lesson 27
キッチン;dapur;lesson 27
〜教室「〜きょうしつ」;kelas~;lesson 27
パーティールーム;ruang pesta;lesson 27
方「かた」;orang(sopan);lesson 27
〜後「〜あと」;setelah~;lesson 27
〜しか;hanya~(diikuti negative);lesson 27
他の「ほかの」;other;lesson 27
はっきり;secara jelas;lesson 27
家具「かぐ」;furniture/mebel;lesson 27
本棚「ほんだな」;rak buku;lesson 27
いつか;suatu hari;lesson 27
建てます「たてます」;membangun;lesson 27
素晴らしい「すばらしい」;luar biasa;lesson 27
子供達「こどもたち」;anak-anak;lesson 27
大好き「だいすき」;sangat suka;lesson 27
主人公「しゅじんこう」;pahlawan;lesson 27
形「かたち」;bentuk;lesson 27
不思議「ふしぎ」;misterius/takjub;lesson 27
ポケット;saku;lesson 27
例えば「たとえば」;contoh;lesson 27
付けます「つけます」;menempelkan/memasang/melekatkan;lesson 27
自由に「じゆうに」;bebas;lesson 27
空「そら」;langit;lesson 27
飛びます「とびます」;terbang;lesson 27
昔「むかし」;masa lalu;lesson 27
自分「じぶん」;diri sendiri;lesson 27
将来「しょうらい」;masa depan;lesson 27
近くの店「ちかくのみせ」;local shops/toko sekitar;lesson 27
靴「くつ」;sepatu;lesson 27
鞄「かばん」;tas;lesson 27
修理「しゅうり」;repair/memperbaiki(spesifik seperti tas dan sepatu);lesson 27
合鍵「あいかぎ」;kunci duplikat;lesson 27
踵「かかと」;tumit;lesson 27
ヒール;heels;lesson 27
つま先「つまさき」;jari kaki;lesson 27
中敷交換「なかじきこうかん」;penggantian sol dalam;lesson 27
ファスナー交換「ファスナーこうかん」;retsliting;lesson 27
ハンドル/持ち手交換「ハンドル/もちてこうかん」;penggantian pegangan tangan;lesson 27
ほつれ;usang;lesson 27
縫い目「ぬいめ」;jahitan;lesson 27
ドライクリーニング;dry cleaning;lesson 27
水洗い「みずあらい」;mencuri dengan air;lesson 27
染み抜き「しみぬき」;penghapus noda;lesson 27
撥水加工「はっすいかこう」;anti air;lesson 27
サイズ直し「サイズなおし」;mengubah ukuran;lesson 27
縮む「ちぢむ」;menyusut;lesson 27
伸びる「のびる」;melar;lesson 27
宅配便「たくはいびん」;home delivery;lesson 27
公共料金等の支払い「こうきょうりょうきんとうのしはらい」;pembayaran biaya utilitas dll;lesson 27
葉書「はがき」;kartu pos;lesson 27
販売「はんばい」;menjual barang/sale;lesson 27
売れます「うれます」;dijual(oleh orang lain);lesson 28
踊ります「おどります」;menari;lesson 28
噛みます「かみます」;mengunyah/menggigit;lesson 28
選びます「えらびます」;memilih;lesson 28
通います「かよいます」;pulang pergi;lesson 28
メモします;menulis memo;lesson 28
まじめ;serius;lesson 28
熱心な「ねっしんな」;antusias;lesson 28
偉い「えらい」;bagus;lesson 28
ちょうどいい;tepat/baru saja;lesson 28
景色「けしき」;pemandangan;lesson 28
美容院「びよういん」;salon;lesson 28
台所「だいどころ」;dapur;lesson 28
経験「けいけん」;pengalaman;lesson 28
力「ちから」;tenaga;lesson 28
人気「にんき」;populer;lesson 28
形「かたち」;bentuk;lesson 28
色「いろ」;warna;lesson 28
味「あじ」;rasa;lesson 28
ガム;permen karet;lesson 28
品物「しなもの」;barang/goods;lesson 28
値段「ねだん」;harga;lesson 28
給料「きゅうりょう」;gaji;lesson 28
ボーナス;bonus;lesson 28
ゲーム;game;lesson 28
番組「ばんぐみ」;acara tv;lesson 28
ドラマ;drama;lesson 28
歌手「かしゅ」;penyanyi;lesson 28
小説「しょうせつ」;novel;lesson 28
小説家「しょうせつか」;novelis;lesson 28
〜家「〜か」;-er/-ist;lesson 28
〜機「〜き」;mesin~;lesson 28
息子「むすこ」;anak laki-laki;lesson 28
息子さん「むすこさん」;anak laki-laki orang lain;lesson 28
娘「むすめ」;anak perempuan;lesson 28
娘さん「むすめさん」;anak perempuan orang lain;lesson 28
自分「じぶん」;diri sendiri;lesson 28
将来「しょうらい」;masa depan;lesson 28
暫く「しばらく」;sementara waktu;lesson 28
大抵「たいてい」;biasanya;lesson 28
それに;sebagai tambahan;lesson 28
それで;dan juga;lesson 28
ちょっとお願いがあるんですが「ちょっとおねがいあるんですが」;saya mempunyai permintaan kecil;lesson 28
実は「じつは」;sejujurnya;lesson 28
会話「かいわ」;percakapan;lesson 28
うーん;hmm/mari kita lihat;lesson 28
お知らせ「おしらせ」;informasi;lesson 28
参加します「さんかします」;join/gabung/ikutan;lesson 28
日にち「ひにち」;tanggal;lesson 28
体育館「たいいくかん」;gedung olahraga/gymnasium;lesson 28
無料「むりょう」;gratis;lesson 28
誘います「さそいます」;mengundang;lesson 28
イベント;event/acara;lesson 28
開きます「ひらきます」;terbuka/membuka;lesson 29
閉まります「しまります」;tertutup/menutup;lesson 29
つきます;menyala(lampu);lesson 29
消えます「きえます」;padam(lampu)/mati(lampu);lesson 29
壊れます「こわれます」;rusak;lesson 29
破れます「われます」;pecah;lesson 29
折れます「おれます」;patah;lesson 29
破れます「やぶれます」;sobek;lesson 29
汚れます「よごれます」;jadi kotor;lesson 29
付きます「つきます」;menempel(noda,sticker,etc);lesson 29
外れます「はずれます」;melepas(kancing);lesson 29
止まります「とまります」;menghentikan;lesson 29
落とします「おとします」;menjatuhkan;lesson 29
掛かります「かかります」;terkunci;lesson 29
拭きます「ふきます」;mengelap;lesson 29
取り替えます「とりかえます」;mengganti;lesson 29
片付けます「かたづけます」;merapikan;lesson 29
皿「さら」;piring;lesson 29
茶碗「ちゃわん」;mangkok kecil/gelas teh;lesson 29
コップ;gelas;lesson 29
ガラス;gelas kaca;lesson 29
袋「ふくろ」;kantong;lesson 29
書類「しょるい」;dokumen/kertas;lesson 29
枝「えだ」;ranting;lesson 29
駅員「えきいん」;petugas stasiun;lesson 29
交番「こうばん」;pos polisi;lesson 29
スピーチ;speech;lesson 29
返事「へんじ」;membalas/menjawab;lesson 29
お先にどうぞ「おさきにどうぞ」;silakan duluan;lesson 29
今の電車「いまのでんしゃ」;kereta yang baru saja berangkat;lesson 29
わすれもの「わすれもの」;barang yang ketinggalan;lesson 29
このくらい;about this;lesson 29
〜側「〜がわ」;sisi~;lesson 29
ポケット;kantong/saku;lesson 29
〜辺「〜へん」;sisi~/sekitar~;lesson 29
覚えていません「おぼえていません」;tidak ingat;lesson 29
網棚「あみだな」;rak jaring(di kereta);lesson 29
確か「たしか」;sangat yakin;lesson 29
良かった「よかった」;itu bagus!;lesson 29
地震「じしん」;gempa bumi;lesson 29
壁「かべ」;dinding;lesson 29
針「はり」;jarum(pada jam);lesson 29
指します「さします」;menunjuk(dengan jari);lesson 29
駅前「えきまえ」;depan stasiun;lesson 29
倒れます「たおれます」;roboh;lesson 29
西「にし」;barat;lesson 29
〜の方「〜のかた」;direction of~;lesson 29
燃えます「もえます」;membakar;lesson 29
レポーター;reporter;lesson 29
太っている「ふとっている」;gemuk;lesson 29
痩せている「やせている」;kurus;lesson 29
膨らんでいる「ふくらんでいる」;menonjol;lesson 29
穴が空いている「あながあいている」;ada lubang;lesson 29
曲がっている「まがっている」;bengkok;lesson 29
歪んでいる「ゆがんでいる」;rusak/terdistorsi;lesson 29
凹んでいる「へこんでいる」;penyok;lesson 29
ねじれている;twisted;lesson 29
欠けている「かけている」;cuil;lesson 29
ひびが入っている「ひびがはいっている」;retak(gelas);lesson 29
腐っている「くさっている」;busuk;lesson 29
乾いている「かわいている」;kering;lesson 29
濡れている「ぬれている」;basah;lesson 29
凍っている「こおっている」;membeku;lesson 29

渡します「わたします」;menyerahkan;lesson 46
帰って来ます「かえってきます」;kembali/pulang;lesson 46
出ます「でます」;pergi/berangkat;lesson 46
届きます「とどきます」;terkirim/delivered;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46
「」;;lesson 46


下ろします/降ろします「おろします」;menurunkan/unload;(dari atas ke bawah)lesson 48
届けます「とどけます」;mengirim;lesson 48
世話をします「せわをします」;menjaga/merawat;lesson 48
録音します「ろくおんします」;record/merekam;lesson 48
嫌「いや」;tidak/tidak mau/enggan;lesson 48
塾「じゅく」;bimbel;lesson 48
生徒「せいと」;pupil;lesson 48
ファイル;file;lesson 48
自由に「じゆうに」;bebas/free;lesson 48
〜間「〜かん」;untuk~;(durasi)lesson 48
いいことですね;itu bagus ya;lesson 48
お忙しいですか「おいそがしいですか」;apakah anda sibuk?;lesson 48
営業「えいぎょう」;bisnis/sales/penjualan;lesson 48
それまでに;pada saat itu;lesson 48
構いません「かまいません」;tidak masalah/i don't mind;lesson 48
楽しみます「たのしみます」;enjoy/menikmati;lesson 48
親「おや」;orang tua;lesson 48
小学生「しょうがくせい」;siswa sd;lesson 48
ーパーセント;-persen;lesson 48
その次「そのつぎ」;selanjutnya;lesson 48
習字「しゅうじ」;kaligrafi;lesson 48
普通の「ふつうの」;;lesson 48
