Question;Answer;Description
虫;むし;Serangga (2012-12, 2023-7)
変;へん;Aneh (2023-7)
音;おと;Suara (2023-7)
絵;え;Gambar (2021-7, 2023-7)
景色;けしき;pemandangan (2012-12, 2021-7, 2023-7)
違う;ちがう;Salah/Berbeda (2010-2011, 2014-7, 2023-7)
撮る;とる;Mengambil (Foto/Video) (2023-7)
洋服;ようふく;pakaian barat (2023-7)
置く;おく;Menaruh/Meletakkan (2012-12, 2023-7)
お客様;おきゃくさま;Pelanggan (2023-7)
汚れる;よごれる;Menjadi Kotor (2023-7, 2018-7)
遊ぶ;あそぶ;Bermain (2018-7, 2021-12, 2023-7)
卒業式;そつぎょうしき;Wisuda (2014-7, 2023-7)
練習;れんしゅう;latihan (2018-7, 2021-7, 2023-7)
頼む;たのむ;Meminta Tolong (2010-2011, 2021-7, 2023-7)
挨拶;あいさつ;Menyapa/Memberikan Salam (2023-7)
季節;きせつ;Musim (2023-7)
誰;だれ;Siapa (2023-7)
遠慮;えんりょ;sungkan(merasa tidak enak) (2023-7)
恥ずかしい;はずかしい;Memalukan/Malu (2023-7)
慣れる;なれる;Terbiasa (2010-2011, 2023-7)
選ぶ;えらぶ;Memilih (2023-7, 2018-7)
両親;りょうしん;kedua orang tua (2018-7)
心配;しんぱい;khawatir (2018-7)
運動場;うんどうじょう;playground (2012-12, 2018-7)
予約;よやく;Reservasi/Pesan Tempat (2018-7, 2021-7)
娘;むすめ;Anak Perempuan (saya) (2018-7, 2021-7)
入校式;にゅうこうしき;upacara masuk sekolah (2014-7, 2018-7)
遅れる;おくれる;terlambat (2018-7)
遅い;おそい;lambat (2018-7)
席;せき;Bangku/Kursi (2018-7)
水泳;すいえい;renang (2018-7)
次;つぎ;Selanjutnya (2018-7, 2021-7)
難しい;むずかしい;Sulit (2018-7, 2021-7, 2021-12)
忘れ物;わすれもの;Barang Hilang/Kelupaan (2018-7)
部屋;へや;ruangan,kamar (2018-7)
取る;とる;mengambil (2018-7, 2021-7)
辞書;じしょ;kamus (2018-7)
帽子;ぼうし;Topi (2018-7)
試験;しけん;ujian (2018-7)
暖かい;あたたかい;Hangat (atmosfer) (2018-7)
見学;けんがく;observasi(visit study) (2018-7)
数;かず;jumlah/angka (2018-7)
消しゴム;けしゴム;Penghapus (2012-7, 2018-7)
理由;りゆう;alasan (2013-7, 2018-7)
面白い;おもしろい;Menarik (2018-7)
広い;ひろい;luas (2010-2011, 2018-7)
乗り換える;のりかえる;transfer kendaraan (2018-7)
困る;こまる;Kerepotan(Dalam Masalah) (2018-7)
声;こえ;Suara (2013-12, 2018-7)
喫茶店;きっさてん;kafe (2018-7)
新幹線;しんかんせん;Shinkansen (2013-7, 2018-7)
言葉;ことば;kosakata,bahasa (2012-12, 2018-7)
お礼;おれい;Terima Kasih(Ucapan Terima kasih) (2018-7)
温かい;あたたかい;hangat (benda) (2018-7)
落とす;おとす;Menjatuhkan (2018-7)
拾う;ひろう;Memungut (2018-7)
間違える;まちがえる;Membuat Kesalahan/Berbuat Salah (2018-7)
案内;あんあい;Memandu (2010-2011, 2018-7)
予定;よてい;Rencana (2014-7, 2018-7)
頑張る;がんばる;Bersemangat (2014-7, 2018-7)
料金;りょうきん;biaya (2018-7, 2021-7)
春;はる;musim semi (2018-7)
以下;いか;kurang,dibawah (2018-7)
お菓子;おかし;Cemilan/Snack (2013-7, 2018-7)
寺;てら;Kuil (2018-7, 2021-12)
海岸;かいがん;pinggiran laut (2018-7)
お弁当;おべんとう;Nasi Kotak (2018-7, 2021-7)
お祭り;おまつり;Festival (2018-7)
踊り;おどり;Tarian (2018-7)
公園;こうえん;Taman (2018-7)
料理;りょうり;masakan (2010-2011, 2014-7, 2021-7)
使う;つかう;menggunakan (2014-7)
育てる;そだてる;Merawat, Mengurus (Makhluk Hidup), Menumbukan (2013-7, 2014-7)
客;きゃく;Pelanggan (2010-2011, 2014-7)
台所;だいどころ;dapur (2014-7)
焼く;やく;Membakar/Memanggang(transitive butuh object) (2014-7)
泊まる;とまる;Menginap (2014-7)
具合;ぐあい;Kondisi Kesehatan (2014-7)
神社;じんじゃ;kuil shinto (2014-7)
村;むら;desa (2014-7)
続ける;つづける;Melanjutkan (2013-12, 2014-7)
熱心な;ねっしんな;Ulet, Tekun (2014-7)
富士山;ふじさん;gunung fuji (2014-7)
落ちる;おちる;Jatuh/Gagal (2014-7)
貯金;ちょきん;menabung (2014-7)
丸い;まるい;Lingkaran (2014-7)
形;かたち;bentuk (2014-7)
輸出;ゆしゅつ;ekspor (2014-7)
留学生;りゅうがくせい;pelajar asing (2014-7)
手紙;てがみ;surat (2014-7)
勤める;つとめる;Bekerja untuk orang lain (2014-7)
貿易;ぼうえき;Perdagangan (2014-7)
帰る;かえる;pulang (2014-7)
元気;げんき;sehat (2014-7)
安全;あんぜん;aman (2014-7)
注意;ちゅうい;memperingatkan (2014-7)
側;がわ;sisi (2014-7)
両方;りょうほう;keduanya (2014-7)
止まる;とまる;berhenti (2014-7)
卵;たまご;Telur (2014-7)
箱;はこ;Kotak (2013-12, 2014-7)
売る;うる;menjual (2014-7)
個;こ;buah, 1 buah, 2 buah (2014-7)
資料;しりょう;dokumen (2014-7)
始める;はじめる;memulai (2014-7)
渡す;わたす;Memberikan (2013-7, 2014-7)
大変;たいへん;berat,sulit (2010-2011, 2014-7)
冊;さつ;buku, 10 buku, 100 buku (2014-7)
雑誌;ざっし;Majalah (2010-2011, 2014-7)
授業;じゅぎょう;pelajaran,kelas (2014-7)
枚;まい;lembar (2014-7)
紹介;しょうかい;Memperkenalkan (2014-7)
速い;はやい;Cepat (2014-7)
種類;しゅるい;Jenis(misal ada 2 jenis kertas kado), kategori (2014-7)
冷たい;つめたい;Dingin (2014-7)
紅茶;こうちゃ;Teh Hitam (2014-7)
図書館;としょかん;perpustakaan (2021-12)
知る;しる;tahu,kenal (2021-12)
橋;はし;Jembatan (2021-12)
借りる;かりる;meminjam (2021-12)
一緒;いっしょ;Bersama (2021-12, 2021-7)
体育館;たいいくかん;Gymnasium (Hall Olahraga) (2021-12)
利用;りよう;penggunaan,pemanfaatan) (2013-12, 2021-12)
払う;はらう;Membayar (2021-12)
疲れる;つかれる;Lelah (2021-12)
寝る;ねる;tidur (2021-12)
宿題;しゅくだい;pekerjaan rumah(PR) (2021-12)
歳;さい；usia, 10 tahun (2021-12)
封筒;ふうとう;Amplop (2021-12)
周り;まわり;Sekitar(Lokasi) (2021-12)
簡単;かんたん;Mudah/Simpel (2021-12)
太陽;たいよう;matahari(planet) (2021-12)
喜ぶ;よろこぶ;Berbahagia/Senang (2021-12, 2013-7)
全部;ぜんぶ;semua (2021-12)
静か;しずか;Sepi/Tenang (2012-7, 2012-12)
誕生日;たんじょうび;hari ulang tahun (2012-12)
腕時計;うでどけい;jam tangan (2012-12)
意味;いみ;makna,arti (2012-12)
大切;たいせつ;penting (2012-12)
手伝う;てつだう;Membantu(Dalam Pekerjaan) (2012-12)
忘れる;わすれる;Melupakan (2012-12)
間に合う;まにあう;keburu (2012-12)
重い;おもい;berat (2012-12)
兄弟;きょうだい;saudara kandung (2012-12)
返す;かえす;kembali,mengembalikan (2012-12, 2013-12)
吸う;すう;Merokok (2012-12)
約束;やくそく;Janji (2012-12)
返事;へんじ;membalas,menjawab (2012-12)
変える;かえる;Mengubah(transitive) (2012-12)
働く;はたらく;bekerja (2012-12)
相談;そうだん;Berdiskusi/Bermusyawarah/Konsultasi (2012-12)
受ける;うける;Ikutan/Menerima (2012-12)
受付;うけつけ;Meja Informasi/Penerimaan (2012-12)
バス停;バスてい/てい;halte bis (2012-12)
細い;ほそい;tipis,kurus (2012-12)
息子;むすこ;Anak Laki-laki (saya) (2012-12)
冷蔵庫;れいぞうこ;Kulkas (2012-12)
窓;まど;Jendela (2012-12)
生活;せいかつ;kehidupan (2012-12)
涼しい;すずしい;sejuk (2012-12)
空気;くうき;udara (2012-12)
美しい;うつくしい;Cantik (2012-12)
昼寝;ひるね;tidur sebentar (2012-12)
第;だい;nomor (prefix nomor) (2012-12)
週末;しゅうまつ;akhir pekan/weekend (2012-7)
晴れ;はれ;Cerah (2012-7)
道具;どうぐ;Alat (2012-7)
打つ;うつ;Menyerang/Memukul/Mengetik (2012-7)
嫌い;きらい;Benci (2012-7)
友達;ともだち;teman (2012-7)
机;つくえ;Meja Kerja (2012-7)
趣味;しゅみ;hobi (2012-7, 2013-7)
登る;のぼる;Memanjat (2012-7)
先輩;せんぱい;kakak kelas,senior (2012-7)
珍しい;めずらしい;Langka (2012-7)
咲く;さく;Mekar (2012-7)
残念;ざんねん;Disayangkan/Sayang Sekali (2012-7)
連れて;つれて;mengajak (2012-7)
子供;こども;Anak (2012-7)
以内;いない;dalam(waktu dll) (2012-7)
階;かい;lantai, 1 lantai, 2 lantai (2012-7)
音楽;おんがく;musik (2010-2011)
最初;さいしょ;Pertama-tama/Dari Awal (2010-2011)
質問する;しつもんする;bertanya (2010-2011)
熱;ねつ;Demam (2010-2011)
伝える;つたえる;Menyampaikan(Pesan/Kalimat) (2010-2011)
途中;とちゅう;Dalam Proses/Perjalanan (2010-2011)
覚える;おぼえる;Menghafal/Mengingat (2010-2011)
並べる;ならべる;Merapikan (2010-2011)
短い;みじかい;pendek (2010-2011)
失敗;しっぱい;Gagal (2010-2011)
袋;ふくろ;kantong (2010-2011)
家具;かぐ;furniture (2010-2011)
接待;せったい;penerimaan(penyambutan) (2010-2011)
要りません;いりません;tidak butuh (2010-2011)
隣;となり;Samping (2010-2011)
着付け;きつけ;fitting baju (2010-2011)
内容;ないよう;konten (2010-2011)
費用;ひよう;biaya (2010-2011)
伝統的;でんとうてき;tradisional (2010-2011)
浴衣;ゆかた;yukata (2010-2011)
寿司;すし;sushi (2010-2011)
天ぷら;てんぷら;tempura (2010-2011)
無料;むりょう;gratis (2010-2011)
残る;のこる;Tersisa (2013-7)
和食;わしょく;makanan Jepang (2013-7, 2013-12)
洋食;ようしょく;makanan barat (2013-12)
切手;きって;perangko (2013-7)
関係;かんけい;Hubungan (2013-7)
例えば;たとえば;contoh (2013-7)
寄る;よる;Mampir (2013-7)
技術;ぎじゅつ;teknologi (2013-7)
届く;とどく;tiba (untuk barang) (2013-7)
戻る;もどる;Bali/Kembali (2013-7)
直す;なおす;Memperbaiki (2013-7)
教育;きょういく;pendidikan (2013-7)
国際;こくさい;internasional (2013-7)
結婚;けっこん;pernikahan (2013-7)
専門;せんもん;spesialis (2013-7)
調べる;しらべる;Memeriksa, Mengecek, Mencari (Kamus) (2013-12)
地下鉄;ちかてつ;Kereta Bawah Tanah (2013-12)
妻;つま;Istri (saya) (2013-12)
夫;おっと;Suami (saya) (2013-12)
写真;しゃしん;foto (2013-12)
消す;けす;Menghapus/Mematikan (2013-12)
捨てる;すてる;Membuang (2013-12)
遅刻;ちこく;Ketinggalan Waktu, terlambat (2013-12)
工事;こうじ;pengerjaan(konstruksi) (2013-12)
段階;だんかい;langkah (2013-12)
狭い;せまい;Sempit (2013-12)
込む;こむ;Masuk/Padat(Penuh Orang/Mobil) (2013-12)
手帳;てちょう;note book (2013-12)
必要な;ひつような;Perlu, Penting (2013-12)
若い;わかい;Muda (2013-12)
訪ねる;たずねる;mengunjungi (2013-12)
掃除;そうじ;Membersihkan (2013-12)
用意;ようい;persiapan (2013-12)
笑う;わらう;Tersenyum/Tertawa (2013-12)
泣く;なく;Menangis (2013-12)
