Question;Answer;Description
回覧/かいらん;mengedarkan;
きちんと;rapi;
整理します/せいりします;organize it;
双子/ふたご;kembar;
姉妹/しまい;saudara perempuan;
５年生/５ねんせい;kelas 5/tahun ke 5;
がっかりします;kecewa;
早退します/そうたいします;pergi lebih awal;
離婚します/りこんしょます;cerai;
石鹸/せっけん;sabun batang;
大勢/おおぜい;kerumunan besar;
伺います/うかがいます;akan mengunjungi;
ぶつかります;bertabrakan;
西洋化します/せいようかします;membaratkan;(budaya)
成人式/せいじんしき;perayaan kedewasaan;
数えます/かぞえます;menghitung;
測ります/量ります/はかります;mengukur/menimbang;
確かめます/たしかめます;mengecek/memastikan;
合います/あいます;fit;(ukuran)
到着します/とうちゃくします;tiba;
酔います/よいます;mabuk;(minuman)
忘年会/ぼうねんかい;pesta akhir tahun;
新年会/しんねんかい;pesta awal tahun;
二次会/にじかい;pesta kedua;
大会/たいかい;turnamen;
表/おもて;bagian depan/muka;(gedung)(koin)
裏/うら;bagian belakang/belakang;(gedung)(koin)
傷/きず;goresan/luka;
成績/せいせき;grade/nilai/skor;
様子/ようす;situasi/kondisi/penampilan;
爆弾/ばくだん;bom;
積みます/つみます;menumpuk;
離れた/はなれた;jauh/remote;
犯人/はんにん;pelaku/tersangka;
噂します/うわさします;gosip/rumor;
お年玉/おとしだま;uang tahun baru;
絵葉書/えはがき;gambar kartu pos;
預かります/あずかります;menyimpan/mempercayai;
先日/せんじつ;hari yang lain;
昔話/むかしばなし;cerita rakyat/dongeng;
お城/おしろ;kastil;
暮らします/くらします;hidup;
陸/りく;daratan/shore;
煙/けむり;asap;
中身/なかみ;isi;(dari kotak)
計算します/けいさんします;menjumlahkan;
弁護士/べんごし;pengacara;
音楽家/おんがくか;musisi;
hukum 法律 ほうりつ
perang 戦争 せんそう
tujuan/goal 目的 もくてき
thesis/paper 論文 ろんぶん
ketel 薬缶 やかん
pembuka botol 栓抜き せんぬき
pembuka kaleng 缶切り かんきり
bungkus kotak dengan kain 風呂敷 ふろしき
makanan kaleng 缶詰 かんずめ
sempoa 算盤 そろばん
termometer 体温計 たいおんけい
persatuan negara-negara 国連 こくれん
penyelidikan/investigasi/survey 調査 ちょうさ
kuat 丈夫 じょうぶ
pemanas 暖房 だんぼう
ac 冷房 れいぼう
proper/suitable 適当 てきとう
usia 年齢 ねんれい
penghasilan 収入 しゅうにゅう
tepat/exactly ぴったり
kering 乾きます かわきます
tergelincir 滑ります すべります
調節します/ちょうせつします;menyesuaikan;
細かい/こまかい;terperinci/kecil;
濃い/こい;gelap/kuat(rasa);
薄い/うすい;lemah(rasa)/light;
おかず;side dish;
量/りょう;kuantitas/jumlah;
１倍/１ばい;1 kali;
たんす;lemari berlaci;
順序/じゅんじょ;urutan;
表現/ひょうげん;ekspresi;
縁起が悪い/えんぎがわるい;nasib buruk;
保証書/ほしょうしょ;jaminan/garansi;
領収書/りょうしゅうしょ;kuitansi/struk;
贈物/おくりもの;hadiah;
円札/えんさつ;tagihan;
４位/４い;4th;
優勝します/ゆうしょうします;menang;(piala)
悩み/なやみ;khawatir;(untuk diri sendiri)
目覚まし/めざまし;alarm;(jam)
回答/かいとう;jawaban/balasan;
鳴ります/なります;berdering;
宅配便/たくはいびん;home delivery;
原因/げんいん;penyebab;
注射/ちゅうしゃ;suntikan;
食欲/しょくよく;nafsu makan;
知識 ちしき;pengetahuan;
宝庫/ほうこ;harta karun;
一部分/いちぶぶん;1 part;
入力します/にゅうりょくします;input;
秒/びょう;detik;
実験/じっけん;eksperimen;
人口/じんこう;populasi;
化学/かがく;sains;
医学/いがく;kedokteran;
救急車/きゅうきゅうしゃ;ambulans;
賛成/さんせい;perjanjian/persetujuan;
によると;according to;
婚約します/こにゃくします;bertunangan;
相手/あいて;mitra;
平均寿命/へいきんじゅみょう;rata-rata harapan hidup;
博士;はかせ;doctor;(phd)
脳/のう;otak;
化粧品/けしょうひん;kosmetik;
下ろします おろします;menurunkan;(dari tempat tinggi ke rendah)
塾/じゅく;bimbel;
構いません/かまいません;tidak apa-apa;
元々/もともと;originally;
競争します/きょうそうします;bersaing;
芸/げい;teknik/performance/art;
姿/すがた;sosok;
捉えます/とらえます;capture/menangkap;
掛けます/かけます;duduk;(dikursi)
