Question;Answer;Description
自転車;じてんしゃ;sepeda
歌;うた;lagu
歌う;うたう;menyanyi
歌手;かしゅ;penyanyi
小説;しょうせつ;novel
小説家;しょうせつか;penulis novel
家;いえ;rumah
家族;かぞく;keluarga
家庭;かてい;rumah tangga
今朝;けさ;pagi tadi
朝食;ちょうしょく;sarapan
昼間;ひるま;siang hari
昼食;ちゅうしょく;makan siang
春;はる;musim semi
春休み;はるやすみ;libur musim semi
夏;なつ;musim panas
夏休み;なつやすみ;libur musim panas
秋;あき;musim gugur
冬;ふゆ;musim dingin
冬休み;ふゆやすみ;libur musim dingin
京都;きょうと;Kyoto
東京;とうきょう;Tokyo
東京都;とうきょうと;kota Tokyo
都合;つごう;kondisi(waktu)
都道府県;とどうふけん;47 prefektur di Jepang
青森県;あおもりけん;Aomori
町;まち;kota
〜町;〜ちょう/ちょう;kota
料理;りょうり;masakan
理由;りゆう;alasan
米;こめ;beras
洗う;あらう;mencuci
お手洗い;おてあらい;toilet
洗濯;せんたく;mencuci(baju)
野球;やきゅう;baseball
野菜;やさい;sayuran
お酒;おさけ;sake
牛肉;ぎゅうにく;daging sapi
鳥肉;とりにく;daging ayam
豚肉;ぶたにく;daging babi
味;あじ;rasa
趣味;しゅみ;hobi
興味;きょうみ;minat
映画;えいが;film
映画館;えいがかん;bioskop
漫画;まんが;komik Jepang
時計;とけい;jam(alat)
計画;けいかく;rencana,strategi
地図;ちず;peta
図書館;としょかん;perpustakaan
仕事;しごと;pekerjaan
仕方;しかた;cara
食事;しょくじ;makanan
用事;ようじ;keperluan
用意;ようい;persiapan
地理;ちり;geografi
地震;じしん;gempa bumi
地下鉄;ちかてつ;subway(kereta bawah tanah)
犬;いぬ;anjing
太い;ふとい;tebal
太る;ふとる;gemuk
区;く;kecamatan
思う;おもう;memikirkan
思い出す;おもいだす;mengingat,teringat
和室;わしつ;ruangan ala Jepang
和菓子;わがし;kue Jepang
平和;へいわ;perdamaian
知る;しる;tahu,kenal
知らせる;しらせる;memberi tahu
水族館;すいぞくかん;akuarium
青い;あおい;biru
光る;ひかる;bersinar
光;ひかり;sinar,cahaya
池;いけ;kolam
電池;でんち;baterai
別;べつ;lainnya
特別;とくべつ;spesial,khusus
別れる;わかれる;berpisah
寒い;さむい;dingin
暑い;あつい;panas
蒸し暑い;むしあつい;panas & lembab
重い;おもい;berat
軽い;かるい;ringan
広い;ひろい;luas
元気;げんき;sehat
病院;びょういん;rumah sakit
病気;びょうき;sakit
起きる;おきる;bangun
起こす;おこす;membangunkan
寝る;ねる;tidur
寝坊;ねぼう;kesiangan
始まる;はじまる;mulai
始める;はじめる;memulai
終わる;おわる;selesai
研究;けんきゅう;penelitian
研究室;けんきゅうしつ;ruang penelitian
研究生;けんきゅうせい;mahasiswa peneliti
研究者;けんきゅうしゃ;peneliti
住む;すむ;tinggal
住所;じゅうしょ;alamat
所;ところ;tempat
場所;ばしょ;tempat
注意;ちゅうい;memperingatkan
注文;ちゅうもん;memesan
意味;いみ;makna,arti
意見;いけん;pendapat
教える;おしえる;mengajar
教育;きょういく;pendidikan
出発;しゅっぱつ;berangkat
発音;はつおん;pelafalan
音;おと;bunyi
音楽;おんがく;musik
工業;こうぎょう;industri
工事;こうじ;pengerjaan(konstruksi)
授業;じゅぎょう;pelajaran,kelas
卒業;そつぎょう;lulus(sekolah)
以下;いか;kurang,dibawah
以上;いじょう;lebih,diatas
以外;いがい;selain
以内;いない;dalam(waktu dll)
家内;かない;istri(sendiri)
室内;しつない;dalam ruangan
内側;うちがわ;sisi dalam
時代;じだい;zaman,periode
バス代;バスだい;biaya bus
代わりに;かわりに;sebagai pengganti
一度;いちど;satu kali
今度;こんど;lain kali
支度;したく;persiapan
交番;こうばん;pos polisi
一番;いちばん;nomor satu
３番線;３ばんせん;peron nomor 3
番号;ばんごう;nomor
１０２号室;１０２ごうしつ;kamar nomor 102
安全;あんぜん;aman
全然;ぜんぜん;sama sekali
西洋;せいよう;barat(lagu,baju)
服;ふく;baju
洋服;ようふく;pakaian barat
妹;いもうと;adik perempuan
好き;すき;suka
大好き;だいすき;sangat suka
弟;おとうと;adik laki-laki
兄弟;きょうだい;saudara kandung
赤い;あかい;merah
赤;あか;merah
赤ちゃん;あかちゃん;bayi
黄色い;きいろい;kuning
黄色;きいろ;kuning
色;いろ;warna
茶色;ちゃいろ;cokelat(warna)
黒い;くろい;hitam
黒;くろ;hitam
首;くび;leher
顔;かお;wajah
頭;あたま;kepala
取る;とる;mengambil
取り替える;とりかえる;mengganti
押す;おす;menekan
押し入れ;おし入れ;lemari oshiire
引く;ひく;menarik
引き出し;ひきだし;laci
止まる;とまる;berhenti
止める;とめる;memberhentikan
中止する;ちゅうしする;membatalkan
使用禁止;しようきんし;tidak boleh digunakan
開く;あく/ひらく;membuka,terbuka
開ける;あける;membuka
閉まる;しまる;tutup
閉める;しめる;menutup
部長;ぶちょう;general manager
全部;ぜんぶ;semua
学部;がくぶ;fakultas
部屋;へや;ruangan,kamar
本屋;ほんや;toko buku
花屋;はなや;toko bunga
屋上;おくじょう;atap, roof top
産業;さんぎょう;industri(semua)
お土産;おみやげ;oleh-oleh
姉;あね;kakak perempuan
お姉さん;おねえさん;kakak perempuan
兄;あに;kakak laki-laki
お兄さん;おにいさん;kakak-laki-laki
世界;せかい;dunia
世話をする;せわをする;menjaga,merawat
世界中;せかいじゅう;seluruh dunia
持つ;もつ;membawa
気持ち;きもち;perasaan
金持ち;かねもち;orang kaya
待つ;まつ;menunggu
招待する;しょうたいする;mengundang(acara formal)
特に;とくに;terutama
特急;とうきゅう;limited express
林;はやし;hutan
森;もり;hutan rimba
村;むら;desa
曜日;ようび;hari
何曜日;なんようび;hari apa
質問する;しつもんする;bertanya
問題;もんだい;soal,masalah
宿題;しゅくだい;pekerjaan rumah(PR)
売る;うる;menjual
売り場;うりば;tempat penjualan
借りる;かりる;meminjam
貸す;かす;meminjamkan
練習;れんしゅう;latihan
習う;ならう;belajar(dari orang lain)
予習;よしゅう;belajar persiapan
復習;ふくしゅう;belajar mengulang(mereview)
習慣;しゅうかん;kebiasaan
乗り物;のりもの;kendaraan
乗り換える;のりかえる;transfer kendaraan
座る;すわる;duduk
死ぬ;しぬ;mati
不便;ふべん;tidak praktis
体;からだ;badan
働く;はたらく;bekerja
薬;くすり;obat
奥さん;おくさん;istri
急に;きゅうに;tiba-tiba
急ぐ;いそぐ;buru-buru
急行;きゅうこう;ekspress
正しい;ただしい;benar
お正月;おしょうがつ;tahun baru
試合;しあい;pertandingan
試験;しけん;ujian
経験;けいけん;pengalaman
考える;かんがえる;berpikir
心;こころ;hati
安心;あんしん;tenang,lega
声;こえ;suara(dari mulut)
合う;あう;cocok
間に合う;まにあう;keburu
合格;ごうかく;lulus(ujian)
漢字;かんじ;kanji
字;じ;huruf
文字;もじ;huruf
切る;きる;memotong
切れる;きれる;putus,terpotong
大切;たいせつ;penting
切手;きって;perangko
楽しい;たのしい;menyenangkan
楽しむ;たのしむ;menikmati
親切;しんせつ;ramah
両親;りょうしん;kedua orang tua
自分;じぶん;diri sendiri
自動;じどう;otomatis
自由;じゆう;bebas
工場;こうじょう;pabrik
駐車場;ちゅうしゃじょう;tempat parkir
教室;きょうしつ;ruang kelas
会議室;かいぎしつ;ruang meeting
鳥;とり;burung
小鳥;ことり;burung kecil
銀行;ぎんこう;bank
食堂;しょくどう;kantin
講堂;こうどう;ruang auditorium
入院する;にゅういんする;masuk rumah sakit
大学院;だいがくいん;jenjang S2,S3
歩く;あるく;berjalan kaki
散歩する;さんぽする;jalan-jalan
走る;はしる;berlari
海;うみ;laut
海岸;かいがん;pinggiran laut
帰る;かえる;pulang
英語;えいご;bahasa inggris
お茶;おちゃ;teh
紅茶;こうちゃ;teh hitam
喫茶店;きっさてん;kafe
答え;こたえ;jawaban
答える;こたえる;menjawab
紙;かみ;kertas
手紙;てがみ;surat
私;わたし/わたくし;saya
送る;おくる;mengirim
放送する;ほうそうする;menyiarkan
