Question;Answer;Description
困る;こまる;Kerepotan(Dalam Masalah)
今晩;こんばん;Malam Ini
今月;こんげつ;Bulan Ini
今週;こんしゅう;Minggu Ini
答える;こたえる;Menjawab
言葉;ことば;Kata/Kata-Kata
今年;ことし;Tahun Ini
交番;こうばん;Pos Polisi
紅茶;こうちゃ;Teh Hitam
公園;こうえん;Taman
交差点;こうさてん;Persimpangan
口;くち;Mulut
果物;くだもの;Buah
下さい;ください;Tolong(Memohon)
曇り;くもり;Awan
曇る;くもる;Akan Berawan
国;くに;Negara
暗い;くらい;Gelap
黒;くろ;Hitam
黒い;くろい;Hitam
来る;くる;Tiba
車;くるま;Mobil
薬;くすり;Obat
靴;くつ;Sepatu
靴下;くつした;Kaos Kaki
去年;きょねん;Tahun Lalu
今日;きょう;Hari Ini
兄弟;きょうだい;Saudara (Kakak-Adik)
教室;きょうしつ;Ruang Kelas
九;きゅう;Sembilan / 9
町;まち;Kota
窓;まど;Jendela
前;まえ;Sebelumnya
曲がる;まがる;Belok/Tekuk
毎朝;まいあさ;Tiap Pagi
毎晩;まいばん;Tiap Malam
毎日;まいにち;Tiap Hari
毎週;まいしゅう;Tiap Minggu
毎年;まいとし / まいねん;Tiap Tahun
毎月;まいつき;Tiap Bulan
万;まん;Sepuluh / 10
万年筆;まんねんひつ;Bolpen Tajam
丸い;まるい;Lingkaran
真っ直ぐ;まっすぐ;Lurus(Arah/Gerakan)
待つ;まつ;Menunggu
不味い;まずい;Ga enak/Gawat
目;め;Mata
眼鏡;めがね;Kacamata
道;みち;Jalan
緑;みどり;Hijau
磨く;みがく;Menggosok
右;みぎ;Kiri
短い;みじかい;Pendek/Singkat
三日;みっか;Hari Ke 3 / 3 Hari
耳;みみ;Telinga
南;みなみ;Selatan
皆さん;みなさん;Semuanya(Orang) (Lebih Sopan)
見る;みる;Melihat
店;みせ;Toko
見せる;みせる;Memperlihatkan
三つ;みっつ;3 Buah
水;みず;Air
木曜日;もくようび;Kamis
門;もん;Gerbang
問題;もんだい;Masalah/Pertanyaan
物;もの;Benda/Barang
持つ;もつ;Membawa
もっと;;Lebih(Lagi)
もう一度;もういちど;Sekali Lagi
六日;むいか;Hari Ke 6 / 6 Hari
向こう;むこう;Sebelah Sana
村;むら;Desa
六つ;むっつ;6 Buah
難しい;むずかしい;Sulit
長い;ながい;Panjang
中;なか;Didalam
鳴く;なく;Suara Tangis Hewa
無くす;なくす;Kehilangan
名前;なまえ;Nama
七つ;ななつ;7 Buah
何;なに;Apa
七日;なのか;Hari Ke 7 / 7 Hari
並べる;ならべる;Merapikan
並ぶ;ならぶ;Berbaris/Mengantri
習う;ならう;Mempelajari dari orang lain(guru)
夏;なつ;Musim Panas
夏休み;なつやすみ;Liburan Musim Panas
何故;なぜ;Mengapa
猫;ねこ;Kucing
寝る;ねる;Tidur
二;に;Dua / 2
日曜日;にちようび;Minggu
賑やか;にぎやか;Ramai
日記;にっき;Buku Harian/Jurnal
肉;にく;Daging
荷物;にもつ;Bagasi/Koper
西;にし;Barat
庭;にわ;Kebun
登る;のぼる;Memanjat
飲み物;のみもの;Minuman
飲む;のむ;Minuman
乗る;のる;Naik Ke(Kereta/Pesawat/Kapal)
脱ぐ;ぬぐ;Melepaskan(Pakaian)
温い;ぬるい;Hangat(Benda)
伯母さん;おばさん;Bibi
お弁当;おべんとう;Nasi Kotak
覚える;おぼえる;Menghafal/Mengingat
お茶;おちゃ;Teh
お風呂;おふろ;Mandi
美味しい;おいしい;Enak
伯父さん;おじさん;Paman
お母さん;おかあさん;Ibu
お金;おかね;Uang
お菓子;おかし;Cemilan/Snack
起きる;おきる;Bangun Tidur
置く;おく;Menaruh/Meletakkan
奥さん;おくさん;Istri (orang lain)
お巡りさん;おまわりさん;Polisi Keliling
重い;おもい;Berat
面白い;おもしろい;Menarik
同じ;おなじ;Sama
お腹;おなか;Perut
お姉さん;おねえさん;Kakak Perempuan (orang lain)
音楽;おんがく;Musik
お兄さん;おにいさん;Kakak Laki-laki (orang lain)
女;おんな;Perempuan
女の子;おんなのこ;Cewek
多い;おおい;Banyak/Besar
大きい;おおきい;Besar
大きな;おおきな;Besar
大勢;おおぜい;Banyak Orang
降りる;おりる;Turun(Dari Kendaraan)
お酒;おさけ;Sake/Minuman Keras
お皿;おさら;Piring
教える;おしえる;Memberitahu/Mengajari
遅い;おそい;Lambat
押す;おす;Menekan
お手洗い;おてあらい;Toilet/Kamar Kecil
男;おとこ;Laki-laki
男の子;おとこのこ;Cowok
大人;おとな;Orang Dewasa
一昨日;おととい;Kemarin lusa
一昨年;おととし;Dua Tahun Yang Lalu
お父さん;おとうさん;Ayah
弟;おとうと;Adik Laki-laki (saya)
終わる;おわる;Selesai
泳ぐ;およぐ;Berenang
来月;らいげつ;Bulan Depan
来年;らいねん;Tahun Depan
来週;らいしゅう;Minggu Depan
零;れい;Nol
冷蔵庫;れいぞうこ;Kulkas
練習;れんしゅう;Berlatih
立派;りっぱ;"Baik; Hebat"
六;ろく;Enam / 6
廊下;ろうか;Koridor
旅行;りょこう;Tamasya
料理;りょうり;Masakan
両親;りょうしん;Kedua Orang Tua
留学生;りゅうがくせい;Pelajar Asing
財布;さいふ;Dompet
魚;さかな;Ikan
先;さき;Sebelumnya
咲く;さく;Mekar
作文;さくぶん;Komposisi
寒い;さむい;Dingin(Cuaca)
三;さん;Tiga / 3
散歩;さんぽ;Berjalan-jalan
再来年;さらいねん;2 Tahun berikutnya
差す;さす;"Mengenakan Payung; Mengoli Sepeda"
砂糖;さとう;Gula
背;せ;Tinggi Badan
背広;せびろ;Setelan Jas
生徒;せいと;Murid Sekolah(Dibawah SMA)
石鹼;せっけん;Sabun Mandi(Batang)
狭い;せまい;Sempit
千;せん;Seribu
先月;せんげつ;Bulan Lalu
先生;せんせい;Guru
先週;せんしゅう;Minggu Lalu
洗濯;せんたく;Mencuci Baju
写真;しゃしん;Foto
四;し;Empat / 4
七;しち;
仕事;しごと;Pekerjaan
閉まる;しまる;Tertutup
締める;しめる;Mengencangkan
閉める;しめる;Menutup
新聞;しんぶん;Koran
死ぬ;しぬ;Mati
塩;しお;Garam
白;しろ;Putih
白い;しろい;Putih
知る;しる;Tahu/Mengetahui
下;した;Bawah
質問;しつもん;Pertanyaan
静か;しずか;Sepi/Tenang
食堂;しょくどう;Kafetaria/Ruang Makan
醬油;しょうゆ;Kecap Asin
宿題;しゅくだい;PR(Pekerjaan Rumah)
空;そら;Langit
外;そと;Diluar
掃除;そうじ;Membersihkan
直ぐに;すぐに;Secepatnya
水曜日;すいようび;Rabu
好き;すき;Suka
少し;すこし;Sedikit
少ない;すくない;Sedikit
住む;すむ;Tinggal
吸う;すう;Merokok
座る;すわる;Duduk
涼しい;すずしい;Sejuk
たばこ;;Rokok
食べ物;たべもの;Makanan
食べる;たべる;Makan
多分;たぶん;Mungkin
大変;たいへん;Berat/Sulit(Kondisi)
大切;たいせつ;Penting
大使館;たいしかん;Kedutaan Besar
高い;たかい;Tinggi/Mahal
沢山;たくさん;Banyak
卵;たまご;Telur
誕生日;たんじょうび;Ulang Tahun
頼む;たのむ;Meminta Tolong
楽しい;たのしい;"Menyenangkan; Asyik; Seru"
縦;たて;Vertikal
建物;たてもの;Bangunan
立つ;たつ;Berdiri
手;て;Tangan
手紙;てがみ;Surat
天気;てんき;Cuaca
戸;と;Pintu ala Jepang
飛ぶ;とぶ;Terbang
時計;とけい;Jam
時;とき;Waktu
時々;ときどき;Kadang-kadang
所;ところ;Tempat
止まる;とまる;Menghentikan
友達;ともだち;Teman
隣;となり;Samping
遠い;とおい;Jauh
十日;とおか;Hari Kesepuluh/10 Hari
鳥;とり;Burung
鶏肉;とりにく;Daging Ayam
撮る;とる;Mengambil (Foto/Video)
取る;とる;Mengambil (Pakai Tangan)
年;とし;Tahun
図書館;としょかん;Perpustakaan
次;つぎ;Selanjutnya
一日;ついたち;Hari Pertama
疲れる;つかれる;Lelah
使う;つかう;Menggunakan (alat)
付ける;つける;Menggunakan (pita)
着く;つく;Tiba
机;つくえ;Meja Kerja
作る;つくる;Membuat
詰まらない;つまらない;Membosankan
冷たい;つめたい;Dingin
勤める;つとめる;Bekerja untuk orang lain
強い;つよい;Kuat
上;うえ;Atas
生まれる;うまれる;Lahir
海;うみ;Laut
売る;うる;Menjual
煩い;うるさい;Berisik/Bawel (mengganggu)
後ろ;うしろ;Belakang
薄い;うすい;Tipis
歌;うた;Lagu
歌う;うたう;Bernyanyi
上着;うわぎ;Atasan(Jaket/Jas/Blazer)
若い;わかい;Muda
分かる;わかる;Mengerti
悪い;わるい;Buruk
忘れる;わすれる;Melupakan
渡る;わたる;Menyebrang
私;わたし;Saya
渡す;わたす;Memberikan
山;やま;Gunung
八百屋;やおや;Toko Sayur
野菜;やさい;Sayur
易しい;やさしい;Mudah/Gampang/Simpel
安い;やすい;Murah
休み;やすみ;Libur
休む;やすむ;Istirahat
八つ;やっつ;8 Buah
呼ぶ;よぶ;Memanggil
良い;よい/いい;Bagus
四日;よっか;Tanggal 4 atau 4 Hari
横;よこ;Samping
読む;よむ;Membaca
夜;よる;Malam
四つ;よつ;4 Buah
洋服;ようふく;Pakaian Ala Barat
八日;ようか;Tanggal 8 atau 8 Hari
弱い;よわい;Lemah
雪;ゆき;Salju
昨夜;ゆうべ;Kemarin malam (setelah matahari terbenam)
郵便局;ゆうびんきょく;Kantor Pos
夕方;ゆうがた;Malam (Pertengahan Sunset+Midnight)
夕飯;ゆうはん;Makan Malam
有名;ゆうめい;Terkenal
雑誌;ざっし;Majalah
全部;ぜんぶ;Semuanya
上がる;あがる;Naik
挨拶;あいさつ;Menyapa/Memberikan Salam
味;あじ;Rasa
赤ちゃん;あかちゃん;Bayi(Lebih Umum Digunakan)
赤ん坊;あかんぼう;Bayi
案内;あんあい;Memandu
安心;あんしん;Merasa Lega/Tenang
安全;あんぜん;Aman
浅い;あさい;Dangkal
遊び;あそび;Bermain
集まる;あつまる;Berkumpul
集める;あつめる;Mengumpulkan
謝る;あやまる;Meminta Maaf
倍;ばい;Kali(2 Bai -> 2 Kali)
番組;ばんぐみ;Program TV
場所;ばしょ;Tempat
美術館;びじゅつかん;Museum Seni/Galeri
僕;ぼく;Aku(Untuk Cowok)
貿易;ぼうえき;Perdagangan
部長;ぶちょう;Kepala Departemen/Direktur
文学;ぶんがく;Literatur
文化;ぶんか;Budaya
文法;ぶんぽう;Tata Bahasa
血;ち;Darah
力;ちから;Tenaga
地理;ちり;Geografi
中学校;ちゅうがっこう;Sekolah Menengah Pertama
注意;ちゅうい;Berhati-hati/Waspada
注射;ちゅうしゃ;Suntikan(Medis)
駐車場;ちゅうしゃじょう;Tempat Parkir
大分;だいぶ;Banyak/Lebih Baik (Jadi Lebih Baik)
大学生;だいがくせい;Mahasiswa/Siswa SMA
大事;だいじ;Penting
大体;だいたい;Kasarannya/Garis Besar
暖房;だんぼう;Heater/Pemanas
男性;だんせい;Laki-laki
電報;でんぽう;Telegram
電灯;でんとう;Senter
泥棒;どろぼう;Pencuri
動物園;どうぶつえん;Kebun Binatang
道具;どうぐ;Alat
枝;えだ;Cabang(Pohon)
遠慮;えんりょ;Merasa Sungkan
選ぶ;えらぶ;Memilih
不便;ふべん;Tidak Praktis
増える;ふえる;Meningkat
深い;ふかい;Dalam
復習;ふくしゅう;Mengevaluasi/Mereview
複雑;ふくざつ;Kompleks/Ribet/Rumit
踏む;ふむ;Menginjak
船;ふね;Kapal
降り出す;ふりだす;Mulai turun hujan/salju
布団;ふとん;Kasur
太る;ふとる;Menjadi Gemuk
普通;ふつう;Biasa/Normal
原因;げんいん;Penyebab(Misal penyebab kecelakaan)
下宿;げしゅく;Rumah Kos
技術;ぎじゅつ;Teknik/Skill
ご馳走;ごちそう;Mentraktir
ご覧になる;ごらんになる;"Silahkan lihat (rumah; kota; film; essay)"
ご主人;ごしゅじん;Suami (orang lain)
ご存じ;ごぞんじ;Tahu(Lebih Sopan Dari 知る)
具合;ぐあい;Kondisi Kesehatan
葉;は;Daun
拝見;はいけん;Melihat(Lebih Sopan Dari みる)
歯医者;はいしゃ;Dokter Gigi
運ぶ;はこぶ;Mengangkut
花見;はなみ;Acara Melihat Bunga Sakura
反対;はんたい;Berkebalikan
払う;はらう;Membayar
発音;はつおん;Pelafalan
林;はやし;Hutan
恥ずかしい;はずかしい;Memalukan/Malu
変;へん;Aneh
返事;へんじ;Membalas/Meresponse(face to face/surat)
火;ひ;Api
酷い;ひどい;"Parah; kejam; amat sangat"
冷える;ひえる;Menjadi Dingin (Benda)
髭;ひげ;Kumis
非常に;ひじょうに;Sangat (Formal)
光;ひかり;Cahaya
光る;ひかる;Bersinar
引き出し;ひきだし;Laci
引き出す;ひきだす;Mengeluarkan (Bisa Uang dari ATM)
引っ越す;ひっこす;Pindah Rumah
飛行場;ひこうじょう;Lapangan Terbang(Mencakup Bandara)
開く;ひらく;Membuka
拾う;ひろう;Memungut
昼間;ひるま;Siang Hari
昼休み;ひるやすみ;Istirahat Siang
久しぶり;ひさしぶり;Lama Tak Jumpa
褒める;ほめる;Memuji
翻訳;ほにゃく;Terjemahan
星;ほし;Bintang
法律;ほうりつ;Hukum
放送;ほうそう;Siaran/Menyiarkan
一度;いちど;Sekali
以外;いがい;Selain daripada
医学;いがく;"Kedokteran; Ilmu Kedokteran"
以上;いじょう;Itu saja/lebih dari...
以下;いか;Di bawah batas/Kurang Dari
意見;いけん;"Pendapat;Opini"
生き物;いきもの;Makhluk Hidup
生きる;いきる;"Hidup(Tujuan Hidup; Sesuatu Yang Hidup)"
以内;いない;Di Dalam (Periode Waktu)
田舎;いなか;Pedesaan
祈る;いのる;Berdoa
色んな;いろんな;Bermacam-macam
石;いし;Batu
急ぐ;いそぐ;Buru-buru
一生懸命;いっしょうけんめい;Berusaha Sekuat Tenaga
頂く;いただく;Menerima (Sopan) = morau (Casual)
致す;いたす;Akan Melakukan (Sopan)
糸;いと;Benang Jahit
字;じ;Karakter/Tulisan/Huruf
時代;じだい;Periode
事故;じこ;Kecelakaan
事務所;じむしょ;Kantor
神社;じんじゃ;Kuil Shinto
人口;じんこう;Populasi
人生;じんせい;Nyawa Manusia
地震;じしん;Gempa Bumi
辞典;じてん;Kamus(Formal daripada jisho)
自由;じゆう;Bebas/Kebebasan
女性;じょせい;Perempuan
準備;じゅんび;Mempersiapkan
十分;じゅうぶん;Cukup/Memadai
柔道;じゅうどう;Judo
住所;じゅうしょ;Alamat
壁;かべ;Dinding
課長;かちょう;Kepala Bagian/Manajer
帰り;かえり;Pulang ke rumah
変える;かえる;Mengubah(transitive)
科学;かがく;Sains
鏡;かがみ;Cermin
海岸;かいがん;Pesisir
会議;かいぎ;Rapat
会議室;かいぎしつ;Ruang Rapat/Konferensi
会場;かいじょう;Acara
会話;かいわ;Percakapan
火事;かじ;Kebakaran
格好;かっこう;Penampilan/Bentuk
構う;かまう;Peduli/Keberatan
髪;かみ;Rambut
噛む;かむ;Menggigit
家内;かない;Istriku/Jumlah Orang di Keluarga
必ず;かならず;Pasti Akan
悲しい;かなしい;Sedih
考える;かんがえる;Berfikir/Memikirkan
看護婦;かんごふ;Perawat Perempuan
関係;かんけい;Hubungan
彼女;かのじょ;Dia(Perempuan)
簡単;かんたん;Mudah/Simpel
彼;かれ;Dia(Laki-Laki)
彼ら;かれら;Mereka
形;かたち;Bentuk
片付ける;かたづける;Merapikan
硬い;かたい;Keras
勝つ;かつ;Menang
乾く;かわく;Kering
代わり;かわり;Menggantikan
変わる;かわる;Mengubah(intransitive)
通う;かよう;Bepergian(Dari mana ke mana)
飾る;かざる;Menghias
毛;け;Rambut Seluruh Tubuh(Termasuk Hewan)
怪我;けが;Luka
計画;けいかく;Merencanakan(strategi)
経験;けいけん;Pengalaman
警察;けいさつ;Kepolisian
経済;けいざい;Ekonomi/Keuangan
見物;けんぶつ;Melihat-lihat
喧嘩;けんか;Bertarung/Berantem
研究;けんきゅう;Meneliti
研究室;けんきゅうしつ;Laboratorium
消しゴム;けしゴム;Penghapus
景色;けしき;Pemandangan
気;き;Udara/Semangat/Pikiran/Perasaan
厳しい;きびしい;Ketat/Killer
気分;きぶん;Perasaan(Badan/Fisik)
機会;きかい;Kesempatan/Peluang
危険;きけん;Bahaya
聞こえる;きこえる;Terdengar
決まる;きまる;Diputuskan(Keputusan)
決める;きめる;Memutuskan
君;きみ;Kamu(Biasanya Untuk Yang Lebih Muda)
気持ち;きもち;Perasaan
着物;きもの;Kimono
近所;きんじょ;Tetangga/Setempat/Sekitar
絹;きぬ;Sutra
季節;きせつ;Musim
汽車;きしゃ;Kereta(Jarak Jauh)/Kereta Uap
規則;きそく;Aturan
子;こ;Anak/Anak Kecil
心;こころ;Hati
国際;こくさい;Internasional
細かい;こまかい;Terperinci/Detail
米;こめ;Beras
込む;こむ;Masuk/Padat(Penuh Orang/Mobil)
今度;こんど;Suatu hari/saat
この間;このあいだ;Pada hari itu/Pada waktu itu
今夜;こんや;Malam ini
故障;こしょう;Rusak(Benda/Mesin)
答え;こたえ;Menjawab
小鳥;ことり;Burung Kecil
校長;こうちょう;Kepala Sekolah
講堂;こうどう;Auditorium
郊外;こうがい;Pinggira Kota
講義;こうぎ;Kuliah(Mata Kuliah)
工業;こうぎょう;Industri (Logam)
工場;じょうじょう;Pabrik
高校;こうこう;Sekolah Menengah Atas
高校生;こうこうせい;Murid SMA
公務員;こうむいん;Pegawai Negeri
高等学校;こうとうがっこう;Sekolah Menengah Atas
交通;こうつう;Transportasi/Lalu Lintas
怖い;こわい;Menakutkan/Takut
壊れる;こわれる;Rusak
壊す;こわす;Merusak
首;くび;Leher
下さる;くださる;Berikan Padaku
雲;くも;Awan
君;くん;Tambahan panggilan untuk laki-laki lebih muda
比べる;くらべる;Membandingkan
暮れる;くれる;Menjadi Gelap
草;くさ;Rumput
空気;くうき;Udara
空港;くうこう;Bandara
客;きゃく;Pelanggan
教育;きょういく;Pendidikan
教会;きょうかい;Gereja
興味;きょうみ;Minat/Ketertarikan
競争;きょうそう;Bersaing/Berkompetisi
急;きゅう;Mendadak/Tiba-tiba
急行;きゅうこう;Bergegas
間違える;まちがえる;Membuat Kesalahan/Berbuat Salah
参る;まいる;Mengunjungi/Menjadi
負ける;まける;Kalah
漫画;まんが;Komik Jepang
間に合う;まにあう;Keburu
真ん中;まんなか;Ditengah (Posisi)
周り;まわり;Sekitar(Lokasi)
回る;まわる;Pergi Berkeliling/Berputar
召し上がる;めしあがる;Silahkan Makan/Minum
珍しい;めずらしい;Langka
見える;みえる;Terlihat
港;みなと;Pelabuhan
味噌;みそ;Miso(Sup)
見つかる;みつかる;Ketemu/Ditemukan
見つける;みつける;Menemukan
都;みやこ;Ibu Kota
湖;みずうみ;Danau
戻る;もどる;Bali/Kembali
木綿;もめん;Katun(Bahan Baju)
森;もり;Hutan Rimba
申し上げる;もうしあげる;Menyampaikan(Kalimat)
申す;もうす;Mengatakan(Ditemukan di jikoshoukai to moushimasu)
迎える;むかえる;Menjemput
昔;むかし;Masa lalu
向かう;むかう;Menuju
無理;むり;Mustahil/Dipaksakan
虫;むし;Serangga
息子;むすこ;Anak Laki-laki (saya)
娘;むすめ;Anak Perempuan (saya)
投げる;なげる;Melemparkan
泣く;なく;Menangis
無くなる;なくなる;Hilang/Habis
亡くなる;なくなる;Meninggal
生;なま;Mentah
直る;なおる;Memperbaiki
治る;なおる;Sembuh
慣れる;なれる;Terbiasa
鳴る;なる;Berdering/Bersuara
寝坊;ねぼう;Telat Bangun Tidur (Kesiangan)
値段;ねだん;Harga/Biaya
眠い;ねむい;Ngantuk
眠る;ねむる;Tidur(Bukan Beranjak Ke Tempat Tidur)
熱;ねつ;Demam
苦い;にがい;Pahit
逃げる;にげる;Kabur
二階建て;にかいだて;Bangunan 2 Lantai
人形;にんぎょう;Boneka
匂い;におい;Bau/Aroma
似る;にる;Mirip
喉;のど;Tenggorokan
残る;のこる;Tersisa
乗り換える;のりかえる;Transit Kendaraan
乗り物;のりもの;Kendaraan
濡れる;ぬれる;Jadi Basah
塗る;ぬる;Mengecat/Mengoles
盗む;ぬすむ;Mencuri
入学;にゅうがく;Masuk Sekolah
入院;にゅういん;Masuk Rumah Sakit
落ちる;おちる;Jatuh/Gagal
踊り;おどり;Tarian
驚く;おどろく;Kaget/Terkejut
踊る;おどる;Menari/Tarian
お出でになる;おいでになる;Menjadi
お祝い;おいわい;Perayaan
お嬢さん;おじょうさん;Anak Perempuan(Orang Lain)
可笑しい;おかしい;Gila/Aneh/Lucu
行う;おこなう;Mengadakan/Membawa
怒る;おこる;Marah(Perasaan)
起こす;おこす;Membangunkan/Menyebabkan
億;おく;Seratus Juta
