Question;Answer;Description
お手洗い;おてあらい;toilet
足;あし;kaki
足りる;たりる;cukup
足す;たす;menambahkan
目;め;mata
一つ目;ひとつめ;yang pertama
力;ちから;tenaga
力持ち;ちからもち;bertenaga
川;かわ;sungai
牛;うし;sapi
牛乳;ぎゅうにゅう;susu sapi
牛肉;ぎゅうにく;daging sapi
魚;さかな;ikan
魚屋;さかなや;toko ikan
店;みせ;toko
喫茶店;きっさてん;kafe
道;みち;jalan
門;もん;pintu gerbang
専門;せんもん;spesialis
雨;あめ;hujan
空;そら;langit
空気;くうき;udara
空港;くうこう;bandara
白い;しろい;putih
一;いち;satu
二;に;dua
三;さん;tiga
四;よん/し;empat
五;ご;lima
六;ろく;enam
七;なな/しち;tujuh
八;はち;delapan
九;きゅう/く;sembilan
十;じゅう;sepuluh
百;ひゃく;seratus
千;せん;seribu
万;まん;sepuluh ribu
月曜日;げつようび;senin
火曜日;かようび;selasa
水曜日;すいようび;rabu
木曜日;もくようび;kamis
金曜日;きにょうび;jumat
土曜日;どようび;sabtu
日曜日;にちようび;minggu
